"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @ElementalUnive1: Get me to 200 followers
1.Retweet
2.Comment your Twitch/YT
3. Follow 
@ElementalUnive1

4.Tag a friend in this tweet!…",FALSE,0,NA,2019-10-08 17:52:35,FALSE,NA,"1181628469224132608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SladjanG91",13,TRUE,FALSE,NA,NA
"RT @DeporFinanzas: 📲 TOP 10 most popular american sports teams ranked by total views on #YouTube during september 2019! 

1.@Flamengo🇧🇷
2.@…",FALSE,0,NA,2019-10-08 17:52:25,FALSE,NA,"1181628428211998720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xXTENORIOXx",100,TRUE,FALSE,NA,NA
"RT @KBSWorldTV: It's FINALLY this #FRIDAY! &lt;2019 Changwon K-pop World Festival&gt; is COMING SOON! Watch the Wonderful performances of 13teams…",FALSE,0,NA,2019-10-08 17:52:24,FALSE,NA,"1181628425427148801",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","FabyLizarragaG",890,TRUE,FALSE,NA,NA
"It will soon be time for another “Bad Electrics Video” send me your worst finds and they might get a mention on the… https://t.co/WFus4ITHfJ",FALSE,1,NA,2019-10-08 17:52:18,TRUE,NA,"1181628397740609537",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ArtElectrics",0,FALSE,FALSE,NA,NA
"A great read about #YouTube or #Instagram for Influencer Marketing. #MARK1051 
Influencer Marketing: YouTube or Ins… https://t.co/4w7AqRbQBo",FALSE,0,NA,2019-10-08 17:52:15,TRUE,NA,"1181628384729878528",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","k_manoukarakis",0,FALSE,FALSE,NA,NA
"The only time I am thirsty is when I get that bloodthirsty! 😆MWR from last night stream. Check me out! Road to 15 s… https://t.co/X4NpqBl47B",FALSE,2,NA,2019-10-08 17:52:07,TRUE,NA,"1181628351737483264",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Gaming13Robin",0,FALSE,FALSE,NA,NA
"RT @GlasnostGone: Eastern #Ukraine's had an entrenched front line since early 2015. So no chance for ""separatists"" to capture ammo/weapons.…",FALSE,0,NA,2019-10-08 17:52:04,FALSE,NA,"1181628339288760325",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MehmehHU",61,TRUE,FALSE,NA,NA
"RT @RyshouJ_Gaming: Walking around at night looking for pieces of paper with scribbles 😂 
https://t.co/85LPU20zKT

#playing #scary #video #…",FALSE,0,NA,2019-10-08 17:51:48,FALSE,NA,"1181628274373533697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","blizbling",8,TRUE,FALSE,NA,NA
"Forza Horizon 4 4K Gameplay Walkthrough Part 29 - Forza Horizon 4 (4K 60fps)
https://t.co/70C8lpyhkl… https://t.co/sHBISwR9Q5",FALSE,2,NA,2019-10-08 17:51:43,TRUE,NA,"1181628249807446016",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RGR2929",0,FALSE,FALSE,NA,NA
"Playing with my new toy  

📹 @canonusaimaging 

•
•
•
•
•
•
•

#love #rode #rebelt7i #TFLers #tweegram… https://t.co/RJ5wsStufe",FALSE,0,NA,2019-10-08 17:51:41,TRUE,NA,"1181628242010284033",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","clloyd101",0,FALSE,FALSE,NA,NA
